Well,Content,Linear regression fit based on Raw Data (483-14/530-30),
I04,Sample X196,-0.033,
I05,Sample X197,-0.344,
I06,Sample X198,-0.338,
I07,Sample X199,-0.328,
I08,Sample X200,-0.310,
I09,Sample X201,-0.324,
I10,Sample X202,-0.344,
I11,Sample X203,-0.329,
I12,Sample X204,-0.336,
I13,Sample X205,-0.331,
I14,Sample X206,-0.333,
I15,Sample X207,-0.337,
I16,Sample X208,-0.323,
I17,Sample X209,-0.309,
I18,Sample X210,-0.341,
I19,Sample X211,-0.306,
I20,Sample X212,-0.329,
I21,Sample X213,-0.354,
I22,Sample X214,-0.070,
I23,Sample X215,-0.327,
I24,Sample X216,-0.298,
J01,Sample X217,25.084,
J02,Standard S1,0.033,
J03,Sample X219,-0.040,
J04,Standard S2,50.918,
J05,Sample X221,-0.317,
J07,Sample X223,-0.343,
J09,Sample X225,-0.352,
J11,Sample X227,-0.318,
J13,Sample X229,-0.352,
J15,Sample X231,-0.312,
J17,Sample X233,-0.335,
J19,Sample X235,-0.341,
J21,Sample X237,-0.333,
J23,Sample X239,-0.297,
K01,Sample X241,25.772,
K02,Sample X242,24.670,
K03,Sample X243,-0.025,
K04,Sample X244,0.058,
K05,Sample X245,-0.341,
K06,Sample X246,-0.334,
K07,Sample X247,-0.330,
K08,Sample X248,-0.320,
K09,Sample X249,-0.354,
K10,Sample X250,-0.317,
K11,Sample X251,-0.338,
K12,Sample X252,-0.353,
K13,Sample X253,-0.322,
K14,Sample X254,-0.322,
K15,Sample X255,-0.349,
K16,Sample X256,-0.337,
K17,Sample X257,-0.340,
K18,Sample X258,-0.323,
K19,Sample X259,-0.332,
K20,Sample X260,-0.314,
K21,Sample X261,-0.298,
K22,Sample X262,-0.299,
K23,Sample X263,-0.319,
K24,Sample X264,-0.349,
L01,Sample X265,28.084,
L02,Standard S1,-0.007,
L03,Sample X267,-0.011,
L04,Standard S2,45.664,
L05,Sample X269,-0.370,
L07,Sample X271,-0.323,
L09,Sample X273,-0.333,
L11,Sample X275,-0.303,
L13,Sample X277,-0.304,
L15,Sample X279,-0.320,
L17,Sample X281,-0.307,
L19,Sample X283,-0.300,
L21,Sample X285,-0.342,
L23,Sample X287,-0.344,
M01,Sample X289,26.943,
M02,Sample X290,25.349,
M03,Sample X291,-0.033,
M04,Sample X292,-0.006,
M05,Sample X293,-0.341,
M06,Sample X294,-0.336,
M07,Sample X295,-0.324,
M08,Sample X296,-0.339,
M09,Sample X297,-0.320,
M10,Sample X298,-0.327,
M11,Sample X299,-0.330,
M12,Sample X300,-0.326,
M13,Sample X301,-0.314,
M14,Sample X302,-0.322,
M15,Sample X303,-0.343,
M16,Sample X304,-0.332,
M17,Sample X305,-0.297,
M18,Sample X306,-0.312,
M19,Sample X307,-0.292,
M20,Sample X308,-0.321,
M21,Sample X309,-0.329,
M22,Sample X310,-0.333,
M23,Sample X311,-0.342,
M24,Sample X312,-0.332,
N01,Sample X313,25.203,
N02,Standard S1,-0.007,
N03,Sample X315,-0.024,
N04,Standard S2,45.401,
N05,Sample X317,-0.338,
N07,Sample X319,-0.302,
N09,Sample X321,-0.344,
N11,Sample X323,-0.339,
N13,Sample X325,-0.339,
N15,Sample X327,-0.308,
N17,Sample X329,-0.313,
N19,Sample X331,-0.321,
N21,Sample X333,-0.303,
N23,Sample X335,-0.296,
O01,Sample X337,28.220,
O02,Sample X338,27.017,
O03,Sample X339,-0.008,
O04,Sample X340,-0.015,
O05,Sample X341,-0.346,
O06,Sample X342,-0.321,
O07,Sample X343,-0.321,
O08,Sample X344,-0.320,
O09,Sample X345,-0.316,
O10,Sample X346,-0.349,
O11,Sample X347,-0.317,
O12,Sample X348,-0.315,
O13,Sample X349,-0.287,
O14,Sample X350,-0.293,
O15,Sample X351,-0.333,
O16,Sample X352,-0.333,
O17,Sample X353,-0.333,
O18,Sample X354,-0.318,
O19,Sample X355,-0.319,
O20,Sample X356,-0.319,
O21,Sample X357,-0.295,
O22,Sample X358,-0.286,
O23,Sample X359,-0.321,
O24,Sample X360,-0.349,
P01,Sample X361,26.680,
P02,Standard S1,-0.066,
P03,Sample X363,0.002,
P04,Standard S2,49.885,
P05,Sample X365,-0.350,
P07,Sample X367,-0.321,
P09,Sample X369,-0.332,
P11,Sample X371,-0.311,
P13,Sample X373,-0.313,
P15,Sample X375,-0.336,
P17,Sample X377,-0.319,
P19,Sample X379,-0.322,
P21,Sample X381,-0.319,
P23,Sample X383,-0.319,
