Well,Content,Linear regression fit based on Raw Data (483-14/530-30),
E21,Sample X117,30.503,
E22,Sample X118,1.437,
E23,Sample X119,27.343,
E24,Sample X120,1.017,
G01,Sample X145,10.093,
G02,Sample X146,1.015,
G03,Sample X147,8.712,
G04,Sample X148,1.635,
G05,Sample X149,12.051,
G06,Sample X150,14.490,
G07,Sample X151,21.227,
G08,Sample X152,1.366,
G09,Sample X153,15.167,
G10,Sample X154,1.511,
G11,Sample X155,25.947,
G12,Sample X156,2.654,
G13,Sample X157,21.535,
G14,Sample X158,1.410,
G15,Sample X159,19.662,
G16,Sample X160,1.913,
G17,Sample X161,24.243,
G18,Sample X162,3.031,
G19,Sample X163,15.012,
G20,Sample X164,2.207,
G21,Sample X165,29.824,
G22,Sample X166,0.709,
G23,Sample X167,18.155,
G24,Sample X168,0.821,
I01,Sample X193,30.426,
I02,Sample X194,1.032,
I03,Sample X195,20.485,
I04,Sample X196,0.822,
I05,Sample X197,28.046,
I06,Sample X198,13.979,
I07,Sample X199,22.201,
I08,Sample X200,1.161,
I09,Sample X201,28.905,
I10,Sample X202,0.939,
I11,Sample X203,0.363,
I12,Sample X204,0.977,
I13,Sample X205,17.212,
I14,Sample X206,0.792,
I15,Sample X207,13.173,
I16,Sample X208,0.721,
I17,Sample X209,13.115,
I18,Sample X210,1.780,
I19,Sample X211,12.986,
I20,Sample X212,0.870,
I21,Sample X213,15.721,
I22,Sample X214,1.388,
I23,Sample X215,11.413,
I24,Sample X216,0.528,
K01,Sample X241,24.106,
K02,Sample X242,0.881,
K03,Sample X243,13.657,
K04,Sample X244,1.289,
K05,Sample X245,11.123,
K06,Sample X246,8.716,
K07,Sample X247,10.364,
K08,Sample X248,0.520,
K09,Sample X249,1.648,
K10,Sample X250,0.902,
K11,Sample X251,11.926,
K12,Sample X252,1.214,
K13,Sample X253,12.771,
K14,Sample X254,1.231,
K15,Sample X255,15.360,
K16,Sample X256,0.832,
K17,Sample X257,12.503,
K18,Sample X258,5.052,
K19,Sample X259,10.400,
K20,Sample X260,0.943,
K21,Sample X261,13.153,
K22,Sample X262,0.525,
K23,Sample X263,12.207,
K24,Sample X264,0.511,
M01,Sample X289,14.070,
M02,Sample X290,0.255,
M03,Sample X291,13.847,
M04,Sample X292,0.415,
M05,Sample X293,8.036,
M06,Sample X294,0.689,
M07,Sample X295,10.668,
M08,Sample X296,0.385,
M09,Sample X297,16.365,
M10,Sample X298,0.580,
M11,Sample X299,11.826,
M12,Sample X300,2.031,
M13,Sample X301,5.762,
M14,Sample X302,1.198,
M15,Sample X303,10.293,
M16,Sample X304,0.451,
M17,Sample X305,9.767,
M18,Sample X306,0.637,
M19,Sample X307,1.705,
M20,Sample X308,0.504,
M21,Sample X309,10.227,
M22,Sample X310,0.445,
M23,Sample X311,6.692,
M24,Sample X312,17.157,
O01,Sample X337,0.581,
O02,Sample X338,0.115,
O03,Sample X339,8.695,
O04,Sample X340,0.441,
O05,Sample X341,3.937,
O06,Sample X342,0.640,
O07,Sample X343,9.781,
O08,Sample X344,0.710,
O09,Sample X345,16.130,
O10,Sample X346,0.488,
O11,Sample X347,9.074,
O12,Sample X348,0.487,
O13,Sample X349,6.251,
O14,Sample X350,0.358,
O15,Sample X351,9.075,
O16,Sample X352,1.276,
O17,Sample X353,2.777,
O18,Sample X354,0.525,
O19,Sample X355,2.484,
O20,Sample X356,0.458,
O21,Sample X357,10.536,
O22,Sample X358,0.574,
O23,Sample X359,5.425,
O24,Sample X360,0.169,
